,precision,recall,f1-score,support
110,1.0,0.8823529411764706,0.9375,17.0
111,1.0,1.0,1.0,9.0
112,1.0,0.9,0.9473684210526315,10.0
113,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
114,1.0,1.0,1.0,22.0
115,1.0,1.0,1.0,12.0
116,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
117,1.0,1.0,1.0,13.0
118,0.8125,0.7647058823529411,0.7878787878787878,17.0
119,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0
120,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
121,1.0,1.0,1.0,1.0
122,0.7727272727272727,0.7391304347826086,0.7555555555555555,23.0
123,1.0,0.9090909090909091,0.9523809523809523,11.0
124,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
125,1.0,1.0,1.0,2.0
126,0.696969696969697,0.71875,0.7076923076923077,32.0
127,0.9,0.8181818181818182,0.8571428571428571,11.0
128,1.0,1.0,1.0,23.0
129,1.0,1.0,1.0,14.0
131,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
132,1.0,1.0,1.0,3.0
133,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
134,1.0,1.0,1.0,11.0
135,1.0,1.0,1.0,16.0
136,1.0,1.0,1.0,21.0
137,0.9523809523809523,1.0,0.975609756097561,20.0
138,0.0,0.0,0.0,1.0
140,0.8181818181818182,0.9,0.8571428571428571,10.0
141,1.0,1.0,1.0,16.0
142,1.0,1.0,1.0,14.0
143,0.6666666666666666,0.9090909090909091,0.7692307692307693,11.0
144,0.8823529411764706,1.0,0.9375,15.0
145,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
146,0.6666666666666666,0.625,0.6451612903225806,16.0
147,0.6,0.47368421052631576,0.5294117647058824,19.0
148,1.0,0.9090909090909091,0.9523809523809523,11.0
149,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
150,1.0,1.0,1.0,16.0
151,0.95,1.0,0.9743589743589743,19.0
152,0.8823529411764706,1.0,0.9375,15.0
153,0.8235294117647058,1.0,0.9032258064516129,14.0
154,0.9444444444444444,1.0,0.9714285714285714,17.0
155,0.9444444444444444,0.9444444444444444,0.9444444444444444,36.0
156,0.7,0.7777777777777778,0.7368421052631579,9.0
157,1.0,1.0,1.0,13.0
158,1.0,1.0,1.0,16.0
159,1.0,1.0,1.0,11.0
160,1.0,1.0,1.0,12.0
161,0.84375,0.9642857142857143,0.9,28.0
162,1.0,0.9285714285714286,0.9629629629629629,14.0
163,1.0,0.9285714285714286,0.9629629629629629,14.0
164,1.0,1.0,1.0,12.0
165,1.0,0.8333333333333334,0.9090909090909091,12.0
166,1.0,1.0,1.0,11.0
167,1.0,1.0,1.0,13.0
168,0.8461538461538461,0.9166666666666666,0.88,12.0
